"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify various delimiters are normalized to semicolons.","0","Split on commas, pipes, slashes, and 'and'","tests","Sun Nov 30 12:03:57 UTC 2025","passed","Sun Nov 30 12:03:57 UTC 2025","TestCleanGenre","Data Cleaning","",""
"","1","Ensure Title Case and strip separators","tests","Sun Nov 30 12:03:55 UTC 2025","passed","Sun Nov 30 12:03:55 UTC 2025","TestSanitization","String Processing","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Sun Nov 30 12:03:55 UTC 2025","passed","Sun Nov 30 12:03:55 UTC 2025","TestSanitization","String Processing","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Sun Nov 30 12:03:57 UTC 2025","passed","Sun Nov 30 12:03:57 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify returns False if ABBA is not strictly in the list.","0","Return False when ABBA is absent","tests","Sun Nov 30 12:03:56 UTC 2025","passed","Sun Nov 30 12:03:56 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Sun Nov 30 12:03:57 UTC 2025","passed","Sun Nov 30 12:03:57 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: MutagenFile raises exception.
        Expectation: Fallback to pygame.mixer.Sound.get_length().
        ","1","Use pygame duration if Mutagen fails","tests","Sun Nov 30 12:03:56 UTC 2025","passed","Sun Nov 30 12:03:56 UTC 2025","TestDuration","Metadata","",""
"
        Scenario: MB search finds recording -> release. CAA has image.
        Expectation: Returns CAA URL.
        ","0","Navigate MBID -> Release -> Cover Art","tests","Sun Nov 30 12:03:56 UTC 2025","broken","Sun Nov 30 12:03:56 UTC 2025","TestCAAProvider","Artwork Providers","",""
"Verify returns True if ABBA is present in any casing.","0","Detect ABBA in artist list (Case Insensitive)","tests","Sun Nov 30 12:03:56 UTC 2025","passed","Sun Nov 30 12:03:56 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"","0","Remove feats, parens, and accents","tests","Sun Nov 30 12:03:56 UTC 2025","broken","Sun Nov 30 12:03:56 UTC 2025","TestNormalization","Data Cleaning","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Sun Nov 30 12:03:57 UTC 2025","passed","Sun Nov 30 12:03:57 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify returns False if ABBA is not strictly in the list.","0","Return False when ABBA is absent","tests","Sun Nov 30 12:03:56 UTC 2025","passed","Sun Nov 30 12:03:56 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"
        Scenario: Truetype font file is missing (OSError).
        Expectation: Fallback to ImageFont.load_default().
        ","0","Fallback to default font on OSError","tests","Sun Nov 30 12:03:55 UTC 2025","broken","Sun Nov 30 12:03:55 UTC 2025","TestA5Creation","A5 Layout","",""
"
        Scenario: Run the internal loop method directly.
        Expectation: Plays sound on AMBIENT channel.
        ","0","Ambient loop plays random file","tests","Sun Nov 30 12:03:56 UTC 2025","failed","Sun Nov 30 12:03:56 UTC 2025","TestAmbientMusic","Ambient Mode","",""
"Verify returns None if no tags have FrameID == 'APIC'.","1","Return None when no APIC frame exists","tests","Sun Nov 30 12:03:56 UTC 2025","passed","Sun Nov 30 12:03:56 UTC 2025","TestAlbumArtExtraction","Metadata Extraction","",""
"
        Scenario: Directory has 'notes.txt'.
        Expectation: Row written: ['notes.txt', '', '']
        ","0","Include non-MP3 files with empty metadata","tests","Sun Nov 30 12:03:55 UTC 2025","broken","Sun Nov 30 12:03:55 UTC 2025","TestDirectoryScanning","File System","",""
"","0","Handle corrupt MP3 gracefully","tests","Sun Nov 30 12:03:55 UTC 2025","broken","Sun Nov 30 12:03:55 UTC 2025","TestTagging","File Operations","",""
"","0","Remove feats, parens, and accents","tests","Sun Nov 30 12:03:56 UTC 2025","broken","Sun Nov 30 12:03:56 UTC 2025","TestNormalization","Data Cleaning","",""
"
        Scenario: Page exists, but infobox has no 'Genre' field.
        Expectation: Returns None.
        ","0","Return None if 'Genre' th is missing","tests","Sun Nov 30 12:03:57 UTC 2025","broken","Sun Nov 30 12:03:57 UTC 2025","TestFetchGenre","Wikipedia Integration","",""
