"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Scenario: 'song.mp3' exists and has ID3 tags.
        Expectation: Row written: ['song.mp3', 'My Title', 'My Artist']
        ","0","Extract Title and Artist from valid MP3","tests","Sun Dec 07 10:34:24 UTC 2025","broken","Sun Dec 07 10:34:24 UTC 2025","TestMP3Metadata","Metadata","",""
"
        Scenario: Directory contains .txt and .jpg files.
        Expectation: Result list should be empty.
        ","0","Ignore non-MP3 files","tests","Sun Dec 07 10:34:25 UTC 2025","passed","Sun Dec 07 10:34:25 UTC 2025","TestGetMp3Files","File System Scanning","",""
"","1","Handle empty or non-string inputs","tests","Sun Dec 07 10:34:25 UTC 2025","passed","Sun Dec 07 10:34:25 UTC 2025","TestCleanGenre","Data Cleaning","",""
"Verify that specific shorthand aliases map correctly.","0","Map specific aliases like x-mas and alt rock","tests","Sun Dec 07 10:34:26 UTC 2025","passed","Sun Dec 07 10:34:26 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Sun Dec 07 10:34:26 UTC 2025","passed","Sun Dec 07 10:34:26 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","Verify JSON files were written","tests","Sun Dec 07 10:34:25 UTC 2025","passed","Sun Dec 07 10:34:25 UTC 2025","TestScriptWorkflow","Integration","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Sun Dec 07 10:34:23 UTC 2025","passed","Sun Dec 07 10:34:23 UTC 2025","TestSanitization","String Processing","",""
"Verify that specific shorthand aliases map correctly.","0","Map specific aliases like x-mas and alt rock","tests","Sun Dec 07 10:34:26 UTC 2025","passed","Sun Dec 07 10:34:26 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","Remove feats, parens, and accents","tests","Sun Dec 07 10:34:24 UTC 2025","broken","Sun Dec 07 10:34:24 UTC 2025","TestNormalization","Data Cleaning","",""
"","0","Remove feats, parens, and accents","tests","Sun Dec 07 10:34:24 UTC 2025","broken","Sun Dec 07 10:34:24 UTC 2025","TestNormalization","Data Cleaning","",""
"","0","Handle empty player gracefully","tests","Sun Dec 07 10:34:25 UTC 2025","passed","Sun Dec 07 10:34:25 UTC 2025","TestUpcomingSongsDisplay","Playlist Display Logic","",""
"Verify playlists are empty and locks are ready.","0","Verify initial attributes","tests","Sun Dec 07 10:34:25 UTC 2025","passed","Sun Dec 07 10:34:25 UTC 2025","TestPlayerInit","Core Logic","",""
"
        Scenario: Two image paths provided.
        Expectation: Both opened, rotated 180, resized, and pasted onto canvas.
        ","0","Open, rotate, resize, and paste inputs","tests","Sun Dec 07 10:34:24 UTC 2025","broken","Sun Dec 07 10:34:24 UTC 2025","TestA5Creation","A5 Layout","",""
"","0","Handle empty or None inputs","tests","Sun Dec 07 10:34:25 UTC 2025","broken","Sun Dec 07 10:34:25 UTC 2025","TestNormalization","Data Cleaning","",""
"","0","High score for identical pairs","tests","Sun Dec 07 10:34:25 UTC 2025","broken","Sun Dec 07 10:34:25 UTC 2025","TestScoring","Matching Logic","",""
"
        Scenario: Playlist is empty.
        Expectation: Returns 0.
        ","0","Handle empty playlist gracefully","tests","Sun Dec 07 10:34:26 UTC 2025","passed","Sun Dec 07 10:34:26 UTC 2025","TestPlaylistIndexing","Playlist Logic","",""
"","1","Remove video suffixes (Official Video, etc)","tests","Sun Dec 07 10:34:23 UTC 2025","passed","Sun Dec 07 10:34:23 UTC 2025","TestSanitization","String Processing","",""
"Verify returns True if ABBA is present in any casing.","0","Detect ABBA in artist list (Case Insensitive)","tests","Sun Dec 07 10:34:25 UTC 2025","passed","Sun Dec 07 10:34:25 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"","0","Raise error if columns missing","tests","Sun Dec 07 10:34:25 UTC 2025","passed","Sun Dec 07 10:34:25 UTC 2025","TestCSVProcessing","Batch Processing","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Sun Dec 07 10:34:23 UTC 2025","passed","Sun Dec 07 10:34:23 UTC 2025","TestSanitization","String Processing","",""
