"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Scenario: process_file is called.
        Expectation: Reads input, calls filler, writes to output.
        ","0","Read CSV, process, and write CSV","tests","Sun Nov 30 12:07:23 UTC 2025","broken","Sun Nov 30 12:07:23 UTC 2025","TestProcessFile","Workflow","",""
"
        Scenario: mutagen raises an exception (e.g., corrupt header).
        Expectation: Fallback to filename as title, 'Unknown Artist', 'unknown genre'.
        ","0","Graceful fallback on corrupt metadata","tests","Sun Nov 30 12:07:22 UTC 2025","passed","Sun Nov 30 12:07:22 UTC 2025","TestGetMp3Files","File System Scanning","",""
"Verify returns False if ABBA is not strictly in the list.","0","Return False when ABBA is absent","tests","Sun Nov 30 12:07:22 UTC 2025","passed","Sun Nov 30 12:07:22 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"Verify that specific shorthand aliases map correctly.","0","Map specific aliases like x-mas and alt rock","tests","Sun Nov 30 12:07:23 UTC 2025","passed","Sun Nov 30 12:07:23 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","Verify JSON files were written","tests","Sun Nov 30 12:07:21 UTC 2025","passed","Sun Nov 30 12:07:21 UTC 2025","TestScriptWorkflow","Integration","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Sun Nov 30 12:07:23 UTC 2025","passed","Sun Nov 30 12:07:23 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: MB search finds recording -> release. CAA has image.
        Expectation: Returns CAA URL.
        ","0","Navigate MBID -> Release -> Cover Art","tests","Sun Nov 30 12:07:22 UTC 2025","broken","Sun Nov 30 12:07:22 UTC 2025","TestCAAProvider","Artwork Providers","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Sun Nov 30 12:07:23 UTC 2025","passed","Sun Nov 30 12:07:23 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","1","Detect required columns case-insensitively","tests","Sun Nov 30 12:07:22 UTC 2025","broken","Sun Nov 30 12:07:22 UTC 2025","TestCSVProcessing","Batch Processing","",""
"
        Scenario: Two image paths provided.
        Expectation: Both opened, rotated 180, resized, and pasted onto canvas.
        ","0","Open, rotate, resize, and paste inputs","tests","Sun Nov 30 12:07:21 UTC 2025","broken","Sun Nov 30 12:07:21 UTC 2025","TestA5Creation","A5 Layout","",""
"","1","Load filenames from JSON","tests","Sun Nov 30 12:07:21 UTC 2025","passed","Sun Nov 30 12:07:21 UTC 2025","TestDataLoading","Data Management","",""
