"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Return None on empty results or error","tests","Wed Dec 10 12:35:25 UTC 2025","broken","Wed Dec 10 12:35:25 UTC 2025","TestItunesProvider","Artwork Providers","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Wed Dec 10 12:35:25 UTC 2025","passed","Wed Dec 10 12:35:25 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","High score for identical pairs","tests","Wed Dec 10 12:35:24 UTC 2025","broken","Wed Dec 10 12:35:24 UTC 2025","TestScoring","Matching Logic","",""
"Verify returns True if ABBA is present in any casing.","0","Detect ABBA in artist list (Case Insensitive)","tests","Wed Dec 10 12:35:24 UTC 2025","passed","Wed Dec 10 12:35:24 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Wed Dec 10 12:35:25 UTC 2025","passed","Wed Dec 10 12:35:25 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Wed Dec 10 12:35:25 UTC 2025","passed","Wed Dec 10 12:35:25 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","Remove citation brackets and whitespace","tests","Wed Dec 10 12:35:25 UTC 2025","passed","Wed Dec 10 12:35:25 UTC 2025","TestCleanGenre","Data Cleaning","",""
"","0","Ensure Title Case and strip separators","tests","Wed Dec 10 12:35:23 UTC 2025","passed","Wed Dec 10 12:35:23 UTC 2025","TestSanitization","String Processing","",""
"","3","test_yes_callback","tests","Wed Dec 10 12:35:23 UTC 2025","passed","Wed Dec 10 12:35:23 UTC 2025","TestConfirmDialog","Dialogs","",""
"
        Scenario: song_counter is 5.
        Expectation: Returns song from Special playlist, even if Primary exists.
        ","0","Special playlist triggers on 5th song","tests","Wed Dec 10 12:35:24 UTC 2025","passed","Wed Dec 10 12:35:24 UTC 2025","TestQueuePriority","Queue Management","",""
"
        Scenario: Page exists, but infobox has no 'Genre' field.
        Expectation: Returns None.
        ","0","Return None if 'Genre' th is missing","tests","Wed Dec 10 12:35:25 UTC 2025","broken","Wed Dec 10 12:35:25 UTC 2025","TestFetchGenre","Wikipedia Integration","",""
