"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Sun Nov 30 12:10:42 UTC 2025","passed","Sun Nov 30 12:10:42 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: 1 item in playlist. File exists (simulated download).
        Expectation: Sanitization -> File Check -> Tagging.
        ","0","Process playlist entries and tag files","tests","Sun Nov 30 12:10:40 UTC 2025","broken","Sun Nov 30 12:10:40 UTC 2025","TestDownloadWorkflow","Workflow","",""
"","0","Prevent selecting already played songs","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestSongSelection","User Interaction","",""
"Verify returns True if ABBA is present in any casing.","0","Detect ABBA in artist list (Case Insensitive)","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"Verify returns False if ABBA is not strictly in the list.","0","Return False when ABBA is absent","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"
        Scenario: write_genre_tag called.
        Expectation: TCON frame added and saved.
        ","0","Write TCON frame to ID3","tests","Sun Nov 30 12:10:41 UTC 2025","broken","Sun Nov 30 12:10:41 UTC 2025","TestEmbedding","File Operations","",""
"
        Scenario: MB search finds recording -> release. CAA has image.
        Expectation: Returns CAA URL.
        ","0","Navigate MBID -> Release -> Cover Art","tests","Sun Nov 30 12:10:41 UTC 2025","broken","Sun Nov 30 12:10:41 UTC 2025","TestCAAProvider","Artwork Providers","",""
"","0","Remove feats, parens, and accents","tests","Sun Nov 30 12:10:41 UTC 2025","broken","Sun Nov 30 12:10:41 UTC 2025","TestNormalization","Data Cleaning","",""
"
        Scenario: iTunes API returns a result with artwork.
        Expectation: Returns high-res (600x600) URL.
        ","0","Parse iTunes JSON response correctly","tests","Sun Nov 30 12:10:41 UTC 2025","broken","Sun Nov 30 12:10:41 UTC 2025","TestItunesProvider","Artwork Providers","",""
"
        Scenario: process_file is called.
        Expectation: Reads input, calls filler, writes to output.
        ","0","Read CSV, process, and write CSV","tests","Sun Nov 30 12:10:42 UTC 2025","broken","Sun Nov 30 12:10:42 UTC 2025","TestProcessFile","Workflow","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Sun Nov 30 12:10:42 UTC 2025","passed","Sun Nov 30 12:10:42 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","test_pick_question_success","tests","Sun Nov 30 12:10:40 UTC 2025","passed","Sun Nov 30 12:10:40 UTC 2025","TestQuestionSelection","Logic","",""
"
        Scenario: Pop next song.
        Expectation: Song is returned and removed from the list.
        ","0","Correctly remove song from queue","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestQueuePriority","Queue Management","",""
"","0","Remove feats, parens, and accents","tests","Sun Nov 30 12:10:41 UTC 2025","broken","Sun Nov 30 12:10:41 UTC 2025","TestNormalization","Data Cleaning","",""
"","2","Load filenames from JSON","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestDataLoading","Data Management","",""
"
        Scenario: Call play_song_immediately.
        Expectation: Sets flags, loads music, plays, and resets flags.
        ","102","Play song immediately stops current music","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestImmediatePlayback","Playback Controls","",""
"","0","Format seconds to MM:SS","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestFormatters","Utilities","",""
"
        Scenario: Truetype font file is missing (OSError).
        Expectation: Fallback to ImageFont.load_default().
        ","0","Fallback to default font on OSError","tests","Sun Nov 30 12:10:40 UTC 2025","broken","Sun Nov 30 12:10:40 UTC 2025","TestA5Creation","A5 Layout","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Sun Nov 30 12:10:42 UTC 2025","passed","Sun Nov 30 12:10:42 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Sun Nov 30 12:10:42 UTC 2025","passed","Sun Nov 30 12:10:42 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: First item is not from user.
        Expectation: Returns 0 (insert at start).
        ","0","Return 0 when no user picks exist","tests","Sun Nov 30 12:10:42 UTC 2025","passed","Sun Nov 30 12:10:42 UTC 2025","TestPlaylistIndexing","Playlist Logic","",""
"Verify returns False if ABBA is not strictly in the list.","1","Return False when ABBA is absent","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"
        Scenario: User picks are at the top, followed by bot picks.
        Expectation: Returns the index of the first non-user item.
        ","0","Find index when user picks are at the start","tests","Sun Nov 30 12:10:42 UTC 2025","passed","Sun Nov 30 12:10:42 UTC 2025","TestPlaylistIndexing","Playlist Logic","",""
"
        Scenario: Two image paths provided.
        Expectation: Both opened, rotated 180, resized, and pasted onto canvas.
        ","0","Open, rotate, resize, and paste inputs","tests","Sun Nov 30 12:10:40 UTC 2025","broken","Sun Nov 30 12:10:40 UTC 2025","TestA5Creation","A5 Layout","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Sun Nov 30 12:10:40 UTC 2025","passed","Sun Nov 30 12:10:40 UTC 2025","TestSanitization","String Processing","",""
"
        Scenario: Songs exist in both Primary and Default playlists.
        Expectation: _get_next_song returns Primary song first.
        ","0","Primary playlist takes precedence over Default","tests","Sun Nov 30 12:10:41 UTC 2025","passed","Sun Nov 30 12:10:41 UTC 2025","TestQueuePriority","Queue Management","",""
"Verify that standard genres map to their defined main categories.","1","Map known genres to canonical categories","tests","Sun Nov 30 12:10:42 UTC 2025","passed","Sun Nov 30 12:10:42 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Sun Nov 30 12:10:42 UTC 2025","passed","Sun Nov 30 12:10:42 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","Parse filename if ID3 fails","tests","Sun Nov 30 12:10:41 UTC 2025","broken","Sun Nov 30 12:10:41 UTC 2025","TestMetadataReader","File System","",""
